#################################################################################################################
#### Master cancels Trading Choice , than Slave
#################################################################################################################

0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	bbbb:0000 	|	0014:0000 	0080:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
bc4f:bc4f 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	8888:0000 	|	bbcc:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
4454:4454 	|	8888:0000 	|	0000:0000 	0000:0000 	0000:0000 	d6e1:0000 	00e3:0000 	ffff:0000 	4753:0000 	
a79e:a79e 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	bbbb:0000 	|	0014:0000 	0080:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
bc4f:bc4f 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	8888:0000 	|	ddee:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
6676:6676 	|	8888:0000 	|	0000:0000 	0000:0000 	0000:0000 	d6e1:0000 	00e3:0000 	ffff:0000 	4753:0000 	
a79e:a79e 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
0000:0000 	|	0000:0000 	|	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
