##################################################################################################################
1. The Master presses the Buttonn "UP" for a short period of time to move the player one step up on the screen####
Waiting for a short timeperiod
2. The Slave also presses the Button "UP" for a short period of time to move the player one step up on the screen#
##################################################################################################################


961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0013 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
9620:9620 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
961e:961e 	|	cafe:cafe 	|	0011:0011 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	0000:0000 	
